lat,lon,time,avg_2m_temperature,max_2m_temperature,min_2m_temperature,prcp_total,avg_10m_u_component_of_wind,max_10m_u_component_of_wind,min_10m_u_component_of_wind,avg_10m_v_component_of_wind,max_10m_v_component_of_wind,min_10m_v_component_of_wind,avg_lake_shape_factor,max_lake_shape_factor,min_lake_shape_factor,avg_leaf_area_index_low_vegetation,max_leaf_area_index_low_vegetation,min_leaf_area_index_low_vegetation,avg_leaf_area_index_high_vegetation,max_leaf_area_index_high_vegetation,min_leaf_area_index_high_vegetation,avg_surface_pressure,max_surface_pressure,min_surface_pressure
25.2,-81.1,2015-10-01,28.2064529181059,29.982109520442,26.6959176836033,0.0,3.84788752526989,6.66444759157302,1.39185921723418,-4.88314368443364,-2.96774774887585,-6.2056288736131,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,100561.660397282,100773.216599962,100284.293137141
25.2,-81.1,2015-10-02,27.7994237016487,29.3034522873227,26.604156243324,0.16376339429509,4.64831778999978,7.79646596302745,2.41461431153365,-4.50538366187591,-3.20182711260276,-5.80574329391297,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,100168.902131722,100381.708090533,100003.819564904
25.2,-81.1,2015-10-03,26.9940932206375,27.8369204769985,26.3144825963756,0.172572183230279,7.70505590303358,9.84229377743206,5.91040392888143,-2.99105634601239,-0.840876641235007,-4.59221518511025,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,100192.307941834,100350.280260875,100048.52782198
25.2,-81.1,2015-10-04,26.0320134412572,27.5736665763516,24.914707823581,1.01381152654075,6.5858616734836,8.34405285202505,5.2189325499094,-0.921630409384929,1.56190467939135,-2.88733715263263,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,100613.538638905,100777.894932348,100396.271286508
25.2,-81.1,2015-10-05,25.6948373263493,27.8760783152667,24.4582595281045,2.7319257683995,7.1167467388657,7.76438575665346,5.99489239319312,0.276165976747565,1.43294428918995,-2.32532993953646,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,100857.896616977,101031.845378235,100714.661988163
25.2,-81.1,2015-10-06,25.9590053030402,27.894713672033,24.8788524536005,1.1483457575509,4.03303690116598,6.31188294726482,3.01492708427463,0.514950407932098,2.07146077580056,-1.62374206881054,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,101172.168625469,101348.651483437,100996.984256262
25.2,-81.1,2015-10-07,26.1691543341681,27.5873482306863,24.3624879477617,0.828426559404745,1.27574051643988,2.69571314956316,-1.35020436322769,1.52521237789357,2.63238428813874,0.272517517528983,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,101346.788639392,101530.72916162,101202.26495394
25.2,-81.1,2015-10-08,27.0674650235172,29.3176057228413,25.103656187755,0.998996745149753,-2.4837843948934,0.618122754590245,-4.06622262762356,0.480813834055258,2.31832780847181,-2.19832021069945,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,101459.972528323,101597.659497529,101337.710222212
25.2,-81.1,2015-10-09,27.2916692024171,28.8793210029471,26.1991320968986,0.978576370799998,-1.20642574852183,2.7792487364578,-3.2908980359512,1.6796668284268,3.01384695495295,-0.651012268434295,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,101586.674219736,101773.587432334,101429.880915913
25.2,-81.1,2015-10-10,26.8079558860179,29.0217989205016,24.894185342079,1.2588560187378,1.92192374928494,5.59087236836427,-1.07386991228343,0.218323448789586,2.46202652898194,-2.36130880470189,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,101496.037817838,101648.93251134,101239.578427567
25.2,-81.1,2015-10-11,26.9425412975157,28.4622664363309,25.7471657226697,1.24884603131145,3.1618951914459,4.26732563608295,2.29931614407069,-1.19647498329174,0.0193650204613672,-2.31991143574649,0.650000484033228,0.650000484033228,0.650000484033228,2.98440080999268,2.98440080999268,2.98440080999268,2.45310453231816,2.45310453231816,2.45310453231816,101224.666243087,101398.415357768,101015.886228241
